ファイル名,黒,白,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400
1486395526019999100.sgf,è?¼è˜¼123,ç®«å£°æ‚ æ‰¬09,-0.016,0.049,0.016,0,0.665,0.21,0.701,0.147,0.706,0.618,0,0,0,0,4.508,4.177,3.314,3.149,2.534,3.066,4.24,2.616,3.247,0,0,0,0,0,4.906,0,3.531,0,0,1.297,1.937,0,0,1.247,0,0,0,0,0,0,0,3.152,1.351,6.449,7.605,4.079,5.271,0,6.409,0,3.354,0,2.743,0,1.786,2.094,1.966,3.775,3.949,0,8.684,5.976,0.937,9.987,14.732,13.189,5.654,0,0,8.633,0,3.038,4.551,3.99,6.76,0,16.051,0,1.221,0,4.342,0,3.721,0,1.223,0,2.972,1.736,2.552,6.754,5.265,5.337,7.494,21.084,8.98,7.367,5.738,3.31,4.062,0,2.266,9.859,0,1.636,18.496,14.846,11.552,9.193,15.735,6.691,4.793,3.788,4.718,4.591,3.508,3.797,6.217,0,2.925,10.885,6.351,7.862,20.007,16.433,6.569,2.328,1.578,0,5.228,0,16.341,15.132,19.145,17.548,19.468,16.749,15.283,16.422,22.934,26.038,21.233,28.113,0.817,0,25.649,7.269,1.932,1.427,4.076,3.293,1.069,1.288,1.522,0,0,1.128,0,0,0,0,0,1.836,3.333,4.125,0,0,2.032,0,4.543,5.775,8.033,3.583,5.027,0,1.748,6.686,7.02,0,6.068,3.368,0,2.732,5.976,2.455,0,1.492,0,3.526,2.505,1.635,4.737,2.33,10.767,2.384,0,0,3.614,2.846,0,3.236,7.22,0,0,4.12,0,0,1.516,0,0,1.821,0,0,0,-0.182,0,4.548,0,0,0.784,0,0,0,11.917,0,1.645,1.947,2.075,0,0.456,0,0.796,0,3.213,0,5.849,0,6.107,0,3.578,0,0,0,3.962,0,4.754,5.561,0,0.88,0,0,1.615,0,0,0.12,-0.688,0,1.919,0,3.722,0,4.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487004651019999985.sgf,ä¸€å“?èŠ¬èŠ³,æµ·çš„åŠ›é‡?1,-0.012,0.054,0.119,0,0.213,0,0.219,0,0.27,0.411,0.605,0.708,0.26,0.169,0,0.767,1.318,2.347,0.979,0.557,1.297,1.822,1.18,0,1.241,3.331,1.736,0,0.698,0.638,0.753,0.876,2.873,1.909,1.493,3.939,1.576,1.649,2.738,0.964,0.933,2.571,0,0.933,0.143,0,0.931,0,1.706,0,0,3.05,0,2.357,0,0.035,4.601,4.541,0,0,3.308,0.121,0,0,0,0,0.767,3.318,3.294,0,7.612,8.695,0,0,0,5.986,14.801,11.966,0,0.813,0,0.405,28.107,25.127,22.359,36.468,34.239,37.12,33.963,21.564,8.371,3.858,0,0,1.602,0.039,0,0,2.43,2.522,0.707,0,0.079,1.03,-0.679,3.035,0,9.034,0,7.468,0.096,4.203,8.684,6.489,6.401,0.679,8.582,5.833,1.123,0,4.887,11.676,0,9.137,11.616,12.325,2.095,9.134,7.357,9.094,3.323,11.78,5.149,0,2.177,-0.905,3.535,0,1.847,0,2.547,0,7.266,8.821,5.419,0,5.404,12.29,5.945,19.038,0,5.618,1.892,6.199,12.293,2.323,7.797,0,0,1.803,0,6.311,0,3.285,0,4.579,0,0,0,0,8.008,6.948,6.432,22.469,4.772,5.214,0,3.897,0,29.556,0,10.368,0,5.802,0,0.009,6.746,2.87,0,2.19,0,0,0,-1.767,0,3.294,3.129,4.246,0,2.767,0,4.357,4.673,16.765,3.082,17.088,11,8.963,0,2.061,4.457,4.837,1.395,3.703,7.061,1.782,0,2.607,0,0.825,0,4.653,4.899,2.84,1.406,1.642,1.243,5.33,7.224,3.823,3.58,3.545,4.392,0.298,0,0.793,0,4.035,3.007,3.669,1.272,2.572,1.346,1.316,0,2.637,3.442,1.114,-0.585,0.47,4.338,0,0,0.07,0,0,0.71,0.201,0.582,73.754,0,1.178,0,4.105,5.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487307936019999687.sgf,å…­ç™¾å…­å??å…­,ä¸ˆäºŒå’Œ,0,0.048,0.182,0,0.158,0,0.207,0.46,0,0,0,0.127,0,3.519,0,3.913,0,3.037,0,0,0,8.982,0,1.514,0.381,0.91,0,1.503,2.714,2.733,0,1.199,1.735,3.27,0,0.357,0,0,0,0,0,4.739,0,1.746,4.02,0,0,2.508,1.867,0,1.114,0,0.746,0,0,4.098,2.136,2.616,3.618,5.384,2.437,2.184,1.727,2.291,3.338,3.25,3.234,4.204,3.509,5.296,0,1.392,0,7.809,4.987,7.143,4.478,0,0,2.706,5.992,4.789,2.205,4.998,0,0,0.958,2.792,0,3.188,0,3.59,0,2.831,0,5.998,2.982,5.449,0,3.534,7.973,13.3,4.65,9.056,5.33,0,7.683,3.047,1.447,3.29,0,0,0,10.105,0,1.572,2.955,0,1.817,0,0.401,3.518,0,2.072,1.236,1.594,0.578,3.385,0,1.224,0,0,2.12,3.451,2.822,0,1.547,0.753,0,0.089,0.251,3.848,5.879,9.565,0,4.985,0,0.011,7.735,0,9.235,2.106,5.27,2.9,6.301,4.398,5.945,3.942,0.647,-0.333,0.035,4.999,0,10.718,0,2.77,5.493,4.499,4.162,3.973,0.812,0.595,0,2.957,1.961,2.317,2.04,2.732,0,1.185,0.666,2.535,0,1.554,4.182,1.331,0,4.113,2.472,3.262,3.266,4.011,1.792,3.492,1.322,0,0.06,-0.85,2.738,4.712,3.666,2.766,2.28,4.522,2.245,0.477,1.976,1.659,0,3.566,3.303,2.036,1.428,4.097,2.889,3.019,2.046,2.58,2.602,4.824,1.217,1.283,1.645,1.667,1.563,1.982,1.779,4.718,2.63,4.702,4.506,4.813,1.414,4.819,3.448,1.744,1.931,0.194,0,4.898,4.667,4.551,2.384,1.001,1.085,4.737,1.906,4.665,3.95,3.519,3.801,0,0,0,5.181,22.888,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488079489019999389.sgf,â–„ï¸»â”»â”³10,å¿—é¹?01,0,0.048,0.003,0,0.127,0.343,0.255,0.122,0.902,1.904,1.404,0,0.818,2.273,1.751,0,3.314,0.652,0,3.567,0,0,3.563,2.049,12.247,2.024,2.55,1.249,0,2.428,0,4.808,3.289,2.652,2.683,0,2.639,0.333,0,2.539,4.224,6.99,4.202,3.783,4.848,7.891,2.908,1.77,3.47,6.446,2.066,4.292,0,6.652,5.057,-0.316,0,4.593,5.168,3.612,4.187,1.422,1.758,3.232,2.569,4.488,0,2.553,3.472,7.299,2.375,2.04,5.211,7.63,1.774,0,4.97,7.707,4.092,3.443,0.85,1.415,0,0.681,1.944,-0.914,0,17.469,18.315,13.431,18.454,15.838,13.812,13.568,15.466,13.555,11.198,15.406,16.616,17.934,6.243,6.701,2.371,6.025,1.414,1.457,3.128,8.624,11.582,4.292,14.018,8.778,0,7.65,2.443,9.751,7.727,10.77,12.088,7.175,2.859,4.131,1.477,4.549,1.115,5.017,12.763,0,10.402,10.397,1.853,0,14.347,0,0,1.455,2.204,0,12.628,4.714,4.786,9.453,8.705,3.009,6.146,0,8.166,0,0.974,4.894,0,7.434,0,12.9,5.775,0,9.52,2.486,4.845,2.139,5.28,0,10.437,10.855,26.072,27.357,30.658,0,19.954,0,1.188,2.363,0,0,0,6.969,0,9.655,10.19,10.434,11.574,4.283,0.618,1.186,13.539,13.429,2.652,0,18.098,3.915,7.607,5.669,9.973,0,1.801,19.54,1.231,6.954,9.38,3.773,4.835,7.734,5.173,13.786,9.051,1.77,8.897,2.862,2.495,0,0,1.511,18.457,9.087,11.403,0,8.798,9.565,3.165,3.095,2.294,0,6.566,0,6.565,0,1.174,0,11.706,8.88,14.554,8.692,11.004,14.465,12.895,8.652,2.571,3.736,3.6,2.588,5.153,2.3,4.351,7.655,3.973,0.66,3.281,6.024,0,0.691,0,3.545,0.565,0,5.051,7.015,4.581,4.731,4.593,0.683,0,5.515,6.66,7.226,5.333,5.22,5.79,3.789,3.654,3.726,2.701,2.324,2.596,5.219,4.637,6.307,0,1.822,0,0,1.48,-0.004,0,-0.015,0,1.342,2.087,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490198622019999577.sgf,å¼ˆæµ·è€?ç”Ÿ,ç¾Žæ™¯010203,-0.007,0.051,0.107,0.1,0.189,0.496,0,2.964,0,1.835,2.359,0,1.46,4.631,1.058,3.364,1.231,0.813,1.497,2.828,0,0.734,2.733,4.134,4.07,5.4,1.105,0.911,0,1.213,0.518,4.585,0.9,4.888,2.082,3.014,0,2.872,0,3.085,0,2.455,0,6.544,7.204,1.755,1.079,6.228,7.193,2.359,0,1.063,0,1.707,1.288,0,1.555,1.69,1.427,1.917,4.031,2.923,0,7.345,7.112,1.305,1.888,1.247,0,8.988,3.827,5.023,0,1.104,0,0,0.902,2.166,1.978,5.408,1.376,8.039,4.626,8.97,6.011,6.805,5.948,5.212,4.144,1.722,1.819,2.613,0,0,0.979,4.277,5.531,2.064,2.083,2.211,3.72,9.392,3.273,9.466,1.378,0,2.294,8.212,5.612,8.986,0,5.704,0,23.005,30.23,0,0,2.823,4.634,10.103,12.414,1.75,0,14.268,16.444,2.745,0.825,4.212,-0.07,0.236,0.127,1.86,0,0.942,0,2.947,5.825,9.631,0,0,0,4.518,0,9.363,6.415,1.94,0,1.923,0,5.58,3.501,0.409,0.646,7.466,0,3.32,0,2.744,0,1.184,0,4.094,1.539,1.838,0,0,0,2.609,0,5.035,2.835,5.263,1.702,1.226,1.959,1.507,-0.815,0,0,0.675,2.481,2.094,5.175,5.163,4.273,5.773,1.882,3.668,1.991,0,2.149,5.317,3.422,2.854,0.39,3.056,3.164,4.749,4.133,0,0.363,0.506,0.413,0.54,0,0.28,0,-0.055,0.498,1.017,1.236,0.572,0,0.713,0,0,0,0.458,0.461,0.597,0,0.306,0,0.582,0,1.292,1.445,1.73,0.42,0.32,0,0.51,0.604,0.321,0,1.653,1.584,1.393,1.301,1.655,0.881,0.542,0.44,0,0,0.446,0.71,0,0,1.211,1.366,0.754,0,1.328,1.322,1.307,1.38,1.286,1.386,0.441,0.328,1.181,1.171,1.167,1.23,0.358,0.19,0.993,0.914,1.134,1.188,1.446,1.183,1.233,1.208,1.343,1.194,1.334,1.467,1.253,1.255,1.401,1.403,1.389,1.204,1.252,1.233,0.724,0,0,0.381,0.877,1.253,1.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490333261019999472.sgf,è“‘ç¬ ç¿?2,æ¶‚å…¬,0,0.036,0.066,0,0.084,0.427,0.768,2.177,0,0,0.135,1.355,0.421,2.94,0.386,1.014,2.861,4.582,1.319,0.184,0,3.897,0.35,0.741,0.984,1.821,0.68,0.865,1.187,1.141,0.57,1.472,0.703,0.127,0,0,1.088,3.159,0,0.685,0.61,2.713,2.227,1.762,0,4.691,0,3.851,4.234,2.477,1.525,2.292,3.886,2.938,4.578,0.993,0,2.587,0,4.044,3.358,1.851,8.602,9.284,0,2.111,0,5.057,20.68,5.183,0.7,0,0,-0.197,1.218,0,-3.504,4.776,5.656,5.135,6.749,7.461,8.133,10.223,10.929,11.078,10.576,10.753,14.176,9.183,10.735,6.977,7.331,6.433,6.397,6.456,7.871,6.428,6.985,8.402,7.907,5.493,4.389,1.803,7.126,1.366,0.736,2.266,6.31,9.312,6.516,6.553,1.506,9.992,7.506,8.346,2.952,2.697,0.903,0.819,0.462,14.035,13.13,6.692,0,12.961,15.778,10.624,15.426,5.376,0,11.636,10.231,0.893,0,7.64,1.299,1.303,16.792,0,0,14.11,5.8,6.065,7.234,12.516,19.665,22.162,32.652,5.505,7.384,0,5.902,12.683,10.082,8.987,12.575,0,0,4.178,2.439,0,7.821,0,1.829,5.255,4.592,0,0,2.568,0.635,0,3.415,9.384,15.246,16.944,5.678,4.38,1.435,8.219,10.101,4.949,39.091,38.855,44.146,42.703,42.45,46.148,44.365,40.42,40.9,43.885,43.287,40.529,40.211,43.566,46.262,44.199,43.538,42.794,41.162,48.107,44.729,44.407,42.886,44.888,43.936,42.334,41.724,36.489,35.535,43.215,42.356,49.419,48.803,44.259,42.571,49.158,48.315,40.916,45.509,34.573,36.138,45.086,48.034,47.691,44.226,43.588,0,1.358,3.26,1.909,4.186,4.14,4.211,3.325,1.475,3.886,2.834,2.164,2.083,2.543,0,1.331,2.078,1.553,1.382,2.974,5.017,3.259,2.82,2.878,0,0.248,0.225,0.259,0,0.906,1.485,1.109,0.929,1.291,0.847,1.298,1.707,0.764,0.704,0,0,1.12,0.993,0,0,0.301,0,0.95,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490429278019999237.sgf,æœ±é€¸å‡¡,å¿«ä¹?ç¡¬äºº,0.116,0.103,0.07,0.443,0.186,0.371,0.32,0,1.196,0,0,1.12,2.033,2.246,0.989,0.379,0,0,0,0.633,0,2.66,2.922,2.143,3.652,1.44,0.987,0.457,1.159,2.321,0,6.075,4.379,1.518,3.272,0.563,2.717,4.194,5.533,7.303,7.507,9.079,9.195,5.923,5.93,3.58,3.916,3.399,0,1.699,0,2.662,2.354,0,1.937,0,4.351,0,8.965,8.472,6.401,6.827,5.966,7.384,9.527,9.266,8.328,3.728,2.264,5.561,3.519,2.428,2.256,10.53,9.302,7.513,7.622,8.556,3.809,0.842,0,2.453,0,3.135,0,0,5.785,9.293,6.393,8.976,9.046,8.664,9.664,0.165,8.584,8.078,1.773,8.672,8.208,10.453,10.28,8.111,6.438,10.422,12.803,14.804,6.774,7.679,7.655,5.802,6.674,0.182,3.552,7.478,6.076,4.142,1.104,0,11.819,21.036,0,5.166,0,11.31,5.875,9.747,5.528,0,4.032,3.528,10.575,8.269,3.643,4.38,7.758,7.837,2.064,4.628,2.55,1.889,0,16.574,17.891,0.528,0,5.03,10.251,2.506,2.146,3.796,0,0,12.196,9.79,10.368,0,5.607,5.747,0,6.982,6.723,1.936,0,2.586,3.982,0,3.529,2.367,0,0.428,2.52,1.358,1.45,0,12.819,0,0,32.983,0,20.996,9.67,8.415,11.272,18.298,21.258,0.509,5.265,5.741,3.394,1.607,1.369,0.705,1.265,0.939,1.077,0,3.917,8.01,6.703,4.5,6.625,5.812,6.901,6.304,9.667,9.219,4.752,4.777,2.897,1.691,2.983,1.292,0.779,0.675,8.307,7.49,6.622,4.924,0.982,0,7.727,0,0.616,1.929,3.125,4.011,3.602,-0.269,0,0.629,0,1.416,0.963,3.964,1.366,0.804,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491102794019999843.sgf,ç›¸çº¦æ°¸ä¹…01,å®?è¿œäºº,0.002,0,0.073,0,0.094,0.211,0,0.204,0.659,0.252,0.108,1.017,1.106,0.382,1.625,0.819,0,2.444,0,2.39,1.54,-0.374,0.161,2.442,7.107,1.568,0.902,1.32,0,0.361,1.091,1.125,1.303,0,0,0,0,2.253,4.751,0,8.07,0,2.26,0,0,0,0,0,0,0,4.123,1.238,4.283,0,0,5.765,3.81,9.625,8.902,3.712,2.655,2.668,0,3.054,0,1.691,10.001,8.149,0,0.82,0,0,2.396,1.939,0,1.431,1.936,1.659,1.55,2.79,2.428,1.759,1.084,2.934,0,0.329,0.888,2.243,1.809,2.244,4.155,0,2.913,5.309,1.602,0.82,1.541,0,4.141,0,0,1.66,5.313,4.214,2.453,5.692,2.956,3.547,3.856,2.886,1.603,0,0.976,0,2.881,2.849,2.228,4.18,1.056,1.196,-0.666,0.46,1.345,0,5.161,5.258,3.403,7.715,3.173,0.607,3.321,0,2.99,7.053,3.589,2.818,5.804,6.744,3.674,6.224,3.919,4.786,6.221,4.905,6.304,4.857,0,4.413,3.551,5.553,6.083,3.327,3.967,1.187,3.722,0,2.195,0,0.993,0,2.528,21.812,0,10.988,0,3.58,0,8.744,12.66,6.213,10.21,11.562,11.186,6.633,0,4.024,0,6.225,0,0,13.982,0,3.862,0,5.705,0,10.798,13.095,4.761,0.976,0.543,0,0,0,6.173,2.214,2.275,2.416,0.348,1.12,4.751,0.533,0.222,4.971,1.348,1.427,1.487,4.332,2.923,1.046,0,0.928,0,2.958,2.756,6.915,1.709,3.435,0,2.291,2.984,1.571,5.465,2.459,2.506,0.19,0,4.272,0,0,0.317,0,0.303,0.443,5.26,1.208,1.831,2.637,0.022,-0.287,0.14,0,0,2.555,1.002,0,0,0,0,0,0.565,1.837,3.082,0.083,0,-0.417,0,0.478,0.13,0,0.435,1.862,2.183,-0.075,-0.223,1.827,1.938,1.413,1.384,3.092,1.783,1.607,2.395,0.983,-0.336,0,0,0,0,0.769,0.653,0,0.624,0,0.536,0.572,0.468,0.407,0.482,0.547,0.416,0,0,0,0,0.061,0.151,0.106,0.185,0.167,0.571,0.515,0.103,0.036,0.048,1,0.991,0.038,0.062,1.036,1.036,0.944,0.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491888640019999727.sgf,èœ•å?˜,ë°•ê´‘ì§„,0.004,0.07,0.124,0,0.691,0.083,0,0,0,0,0.18,0.197,0,0.137,0.227,0.125,0.397,0.655,1.679,0,0.035,0.935,1.343,1.667,0.532,0.739,0,0.374,1.037,0.3,0.265,0.191,1.303,1.99,1.688,1.552,0,2.479,0,5.96,2.546,1.312,1.093,2.712,3.735,0.374,2.037,1.513,0,0,0,1.982,1.169,1.655,0,0.509,5.102,5.892,5.958,6.405,5.259,8.432,6.517,6.937,6.987,6.693,6.107,4.766,3.404,5.048,6.282,6.115,6.727,4.132,4.849,2.123,0,2.394,0.707,4.066,5.465,0.134,0,5.837,4.861,2.608,3.136,0.705,0,9.573,10.117,4.533,6.837,4.403,5.53,10.2,7.257,12.41,6.527,1.723,1.779,9.097,4.918,4.894,7.821,11.31,9.266,6.726,8.239,8.856,8.771,9.457,8.201,9.998,8.03,9.532,9.425,9.234,5.865,2.443,2.361,0,2.688,0,2.401,1.921,4.478,5.51,3.06,3.109,7.83,6.584,2.865,4.735,10.273,5.796,7.664,0,0.766,1.642,0.922,2.963,0,0,2.555,9.176,0,0,3.601,0.434,4.927,1.853,1.999,2.059,0,38.739,38.848,8.899,0,30.983,33.16,42.387,7.706,18.947,18.243,13.024,13.672,47.761,49.475,8.896,41.417,38.905,39.926,38.038,38.88,38.877,38.707,39.28,36.489,37.199,38.991,36.922,30.089,25.805,29.995,26.51,17.303,27.923,39.54,32.219,34.364,11.712,10.015,4.605,0,5.981,2.264,3.963,7.701,3.006,2.572,0,1.412,0.923,7.632,14.21,10.452,12.385,11.736,11.732,8.682,10.88,1.197,0,8.72,13.323,10.484,12.052,4.845,7.293,14.39,13.413,1.69,10.131,13.55,3.789,3.052,1.651,11.214,44.405,47.13,1.901,0.39,0,4.124,0.603,0,0.066,0,3.533,4.959,3.262,3.116,2.993,3.554,0.904,0,3.109,4.999,0,6.466,8.117,0.088,0.388,0.47,0.202,0,0.1,0,0,0,0,0,0,0,0,0.138,0.458,0,0.303,0,1.73,1.736,0,-0.033,0.004,1.066,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492338812019999287.sgf,è¡€è?”å¸®,æ˜Šæ?°,0.942,0.089,0,0.25,2.586,0,1.938,0.726,1.881,1.316,3.032,2.644,3.15,0,0,0,3.55,1.896,2.151,2.273,0,1.256,4.216,0,9.374,0,0,1.881,6.192,6.419,0.871,0.98,0.325,1.261,0,0,2.139,0,0,0,0,2.163,0,0,3.191,1.762,2.664,2.045,0.387,0,0,1.264,-0.047,0,1.605,4.865,4.442,2.93,2.764,3.473,3.438,2.793,2.188,1.341,2.882,0.699,2.329,1.328,3.019,1.672,0.805,0,2.371,4.018,2.936,4.679,7.156,4.611,3.557,4.662,6.519,4.488,5.067,5.177,5.021,6.498,8.807,7.133,6.237,4.398,0,5.231,7.826,1.709,2.077,1.966,2.41,2.009,1.469,3.393,3.313,0,6.143,0,5.345,0,1.699,9.183,0,4.846,1.225,0,0.778,3.123,5.607,0,2.239,0,3.43,1.311,0,0,1.798,6.196,5.503,3.397,2.339,2.088,2.736,1.956,7.835,2.244,4.732,3.378,4.787,3.002,4.445,6.734,6.521,15.784,3.802,4.062,3.543,11.184,0,8.934,1.592,8.258,0,4.777,0.293,9.628,0,1.321,3.699,5.455,1.805,2.169,5.704,0,0.819,0.881,12.113,8.015,6.527,10.541,5.264,0.757,1.053,2.683,8.21,0,3.275,0.249,0.736,8.592,-0.419,-0.128,0.994,0,9.785,10.097,1.831,0,0,0,0.486,0,2.134,1.151,7.202,5.499,9.807,9.52,10.929,10.322,10.306,5.882,10.742,5.365,0.947,0,3.71,4.737,8.964,10.879,8.279,8.371,7.873,8.859,8.948,1.056,5.837,7.873,8.791,4.913,5.424,5.992,6.263,10.195,10.245,5.498,2.705,3.219,3.451,0.324,0,4.508,1.735,0,4.619,0,2.8,0,0.769,0,5.374,7.056,5.665,4.782,5.037,4.397,4.926,6.631,5.738,5.581,7.276,9.775,10.739,12.577,9.783,9.373,11.243,7.577,2.356,3.724,12.802,12.622,10.833,9.383,13.713,21.053,16.751,29.432,32.307,14.777,13.019,11.687,11.62,12.572,8.928,7.838,-1.085,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
