ファイル名,黒,白,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400
1470898865019999838.sgf,simplego,기보해설,0.017,0,0.11,0.158,0.106,0.202,0.122,0.311,0.14,0.349,0.231,0,0,0.306,0.266,0.282,0,1.169,0,0.659,0,0.356,0,0,0,0.351,0,2.901,0,0.634,1.312,1.27,2.874,1.964,0.382,0.479,0.605,2.048,3.491,3.154,0.742,0,0,0,0,0,0,0,0,0,0.555,0.062,0.358,0.136,0,-0.315,0,0,0,0.635,3.436,2.535,0,0.152,0,0.346,3.219,0,2.845,0,0,0,0,0,0,0,0,0,0,0,0.158,1.105,2.485,3.821,0,0.728,0,0,0,2.284,0,0.166,6.269,0,0.545,0,0,0,0,0.237,0,4.417,0,0,2.47,0.35,2.688,1.301,2.96,0,1.465,1.162,1.629,0,0,4.152,0,-0.485,3.485,0,0,2.839,2.957,0,0,0,0.479,0.771,0,0.257,-1.097,0,0.841,0.123,0.02,0.695,0,0.513,0,4.685,0,0,-0.114,0.996,-0.317,-0.228,3.659,0,0,12.457,6.466,7.467,6.507,0,1.375,0,1.962,1.891,5.068,4.289,0.701,0,0.419,0,0.791,0.506,2.435,0,0,0.486,0,0.815,1.971,0.757,0,0,2.715,0.312,0,0.872,1.601,0.614,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486972224019999641.sgf,cheney2014,无为善若水,0,0.038,0.097,0.104,0.22,0.427,0.17,1.352,0,1.824,0,0,0,0,0,0,0.065,0,0,0,0,0,2.965,0,0,0.486,0,0,0,0,0,0,0,0.825,0.273,0,0,0,0,0,0,0.804,0,0,0,1.67,0.526,2.183,2.733,0,0.085,0,0,0,-0.813,0,2.819,3.919,5.063,0,1.327,1.645,1.557,1.122,1.109,0,0,0,0,2.013,0,2.532,0,0,2.507,2.746,0,0,2.056,0,0.91,0,0.165,0,0,1.194,0,2.323,0,0,0,1.116,2.115,1.136,1.605,2.444,9.586,0,0,2.21,2.967,2.167,2.014,4.732,4.882,0,3.47,0,2.176,2.758,3.727,8.303,0,0,0,3.123,0,0,9.971,11.801,0,0,2.052,2.975,1.909,1.295,3.586,0,0.31,-1.787,-2.001,1.79,2.312,2.75,0.864,1.362,5.501,4.773,2.108,4.691,0,0,0.405,2.577,3.248,-0.28,0,6.449,4.391,5.872,0.993,3.282,2.858,0,-1.059,-2.034,8.43,0,4.53,0,3.54,0,2.482,0,0,2.223,0.865,0,0.757,0,3.984,2.832,0,3.851,1.094,1.62,1.354,0,2.245,3.792,0.894,1.329,3.349,0.678,0,0,1.214,3.844,3.578,0.83,3.776,0,1.586,1.072,0.293,1.471,0.77,3.03,2.857,2.958,4.119,5.382,0,0,7.036,1.616,1.183,1.948,0,2.548,0,5.62,5.734,4.72,5.254,6.925,6.935,5.958,5.062,7.888,5.486,5.908,3.25,2.903,3.37,5.284,5.598,2.006,0,2.031,1.072,0.272,-1.554,-0.109,-0.288,0,0.068,0,0.204,0,0.542,0,0.275,0,3.949,3.98,4.016,5.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487173295019999017.sgf,JC勇敢的心,laife,0.114,0.087,0.122,0,0.21,0.415,0,0.207,0.33,0,0,0,0.257,2.074,0,0,0,1.995,1.74,0.717,0.322,1.324,0.735,0.312,0.743,0.422,0.56,0,0.959,0.256,0.953,0.894,0.373,0.803,0,0,0.349,1.097,0,0,1.598,2.365,1.005,0,0.171,3.149,0,0,0,1.078,1.407,2.296,0,0.448,0,0.144,2.762,1.429,0.992,-0.043,0,0,0,3.515,3.97,3.436,1.05,0,0,5.293,0,0,0.359,1.646,0,2.811,0,0,0,0,0,0.306,0,1.479,0,0.354,4.849,5.381,4.482,0,4.104,0,0,2.272,0,2.34,5.28,5.391,0,0,0,1.76,2.663,2.565,7.777,7.851,8.092,12.627,1.451,0,0,4.01,0,10.185,0.004,0,0,3.563,4.137,5.131,5.049,7.64,0,2.774,0,0,0,1.486,0,3.293,0,0,2.747,6.101,5.093,2.941,10.122,1.552,7.533,3.509,0,2.53,1.254,0.481,0.203,8.316,2.983,-0.46,4.595,12.465,0,0,5.36,2.19,4.453,2.014,0,0,0,6.205,0,2.398,1.619,5.004,0,2.363,8.357,3.501,7.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487325073019999582.sgf,北截,长眉真人,0,0.062,0.131,0.118,0.14,0.086,0.376,0.24,0.123,0,0.146,0,0.248,0.113,0.741,0.583,0,0.338,0.312,0.536,0.507,0,0,1.011,0,0,2.096,0.016,0,0.872,3.271,0,1.222,0,0,0,0,2.395,0,0,3.131,3.862,3.316,0,0.834,2.709,-0.335,0.115,1.294,3.94,10.036,7.885,3.4,7.108,0,-0.566,3.927,2.657,0,0,3.767,0,1.418,-0.021,0,0,2.366,0,1.735,2.828,2.408,0,2.748,12.368,0,0.493,0,0,0,0,6.422,3.91,3.727,5.793,7.684,0,3.322,8.068,0,0,0,3.309,2.809,3.149,5.437,3.626,0,2.301,1.835,0.616,2.277,2.093,0.982,2.152,2.864,2.023,3.491,2.646,2.781,3.229,4.739,1.743,1.722,2.519,4.297,0,1.977,3.898,0.916,1.098,3.045,4.24,3.062,4.281,0,0,0,0.818,0,1.205,5.206,2.888,2.184,3.614,2.785,2.586,0.953,-0.207,7.633,1.642,1.933,1.562,0.82,0.977,3.878,3.374,2.204,1.869,2.861,7.065,0.898,1.134,0.642,2.141,8.465,0,0.638,0,0,0.593,0,2.087,0,0,-0.638,0,2.083,1.087,3.82,1.421,0,1.48,3.299,0,1.293,6.422,4.259,5.186,3.318,0,1.343,0,-0.307,0,4.275,2.977,0,1.693,3.957,6.117,1.671,0.368,1.56,1.419,4.624,1.149,0,3.626,3.3,6.593,7.828,5.512,1.732,0,2.012,1.821,15.861,1.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489233954019999976.sgf,文心雕龙20,比目余361,0.003,0.038,0.168,0,0.213,0.224,0.195,0.215,0.153,0.353,0.167,0.212,0,0.278,0,1.229,0,0,0,0.351,0.329,0,0,0.008,0.542,0,0.356,0,1.942,0.561,0.568,0.896,0,0.355,2.413,0,0.594,0,0,0,0.937,0,0.678,1.106,0.848,0.548,0,1.846,0,0,0,0.419,1.455,0.452,0.677,0.717,0.228,0,4.988,0.847,0.085,0,0.123,0,0.649,-0.301,0,0,1.737,3.229,0,0,0,1.133,2.445,0,1.455,0,2.64,0.84,0,1.142,0,3.426,5.999,4.381,0,0,1.112,1.188,1.434,0.768,1.526,1.774,2.045,0,0,0,0,-0.289,9.817,7.718,6.835,1.242,7.263,9.18,4.777,4.627,0,6.825,0,7.744,0,1.633,2.555,2.213,0,0,1.29,1.723,1.276,0,1.211,-0.617,0,0,0,0,0.91,0.601,0.69,0,-0.365,0,0,1.624,0,0.408,0,0,0.403,0.231,0,0,2.366,2.966,0,-1.052,0,1.583,0,-3.206,0,7.08,6.698,10.089,10.296,6.992,15.345,14.517,21.281,6.95,0,20.835,0,5.238,6.555,7.181,0,-0.706,0,1.647,0,-0.642,0.762,0,0.147,3.569,4.713,0.079,0.101,0,0.234,0.043,0,0.378,0,0,0,-0.121,-0.118,0.191,0.608,1.951,2.092,0,1.259,0,-0.337,0,0,0,1.645,0,-0.549,-0.51,0,0,1.639,2.255,2.118,0.517,0.467,0.132,0.545,-0.07,0,0,0,0,0.134,0,0,0.088,0,1.415,0,0.668,0,3.576,1.735,0,3.464,4.244,0,1.488,0,0.105,0,0,0.28,0.626,0.698,0.241,0,0,0.477,0,-0.049,0.036,0,-0.04,0.183,0,0,0,0.072,-0.003,0.053,0.024,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489977969019999166.sgf,狂情酷,月到天心1,0,0.05,0.075,0,0.063,0.265,0.195,0.037,0,0.136,0.727,0.518,0,0.428,0.507,2.067,0,0.836,0,1.068,2.206,0,0.895,0.947,0,0.651,0.24,0,0.665,0.249,0,0.923,0,0,1.538,7.828,0,1.744,0,4.66,19.093,0,0.926,0,0,0,0,2.155,2.095,0,2.097,2.891,0,0,0,0,0.391,1.079,4.807,0,0,1.047,3.469,0,0,1.399,1.866,0,-2.507,7.028,0,0,0.961,0,0,2.431,0,1.897,0,5.197,6.333,3.474,1.502,6.331,5.407,3.79,3.288,0,4.496,1.827,0,1.518,0,2.207,0,0,4.499,1.591,5.86,7.06,3.427,4.881,5.363,5.917,4.559,4.808,5.493,2.881,7.303,1.695,2.758,5.996,11.195,2.408,9.441,0,1.28,2.694,2.697,1.607,2.876,3.678,0,0.828,0,0.395,2.443,4.115,0,0.615,0,0.39,0.226,2.401,5.455,3.379,2.402,3.568,5.595,3.668,2.461,0.969,0,1.69,6.369,5.559,0.624,0,0.939,4.593,3.035,2.681,2.586,3.302,7.851,3.16,1.677,5.129,2.664,2.468,0,4.919,0,0,7.324,0,0,0,0,0,0,0,5.746,0,0,3.123,0,4.911,2.752,6.22,1.96,2.104,0,-1.014,1.847,0,8.985,5.915,4.164,4.528,2.333,0,0.784,0,0,0,1.487,2.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490059458019999033.sgf,江汉棋院,tama3go5,0,0.054,0.128,0,0.178,0.27,0.324,0,0.12,0.458,0.309,0,0,1.128,0,2.293,0,0,1.915,0,0,1.215,1.899,0.257,0,1.482,0.345,0.446,0,2.285,0,0.675,-0.488,0,4.128,6.689,0,1.127,0,2.4,4.305,7.97,9.812,0,0,10.974,5.104,4.502,0,0,0,6.405,0,0.722,1.158,0,0,0,6.525,6.616,6.412,5.464,0,0,3.023,1.065,1.854,2.006,0,0,0,0,0,1.48,0,-0.192,0.768,0.687,0.913,2.955,0,2.736,0,0.569,0,3.695,2.766,-0.11,3.221,5.886,5.384,0.776,0,0,1.553,0.717,1.436,2.288,2.499,3.08,3.606,4.261,2.736,0,1.88,1.511,6.366,0,5.233,0,-7.794,0,0,0,0,3.585,0,0,0,0,1.274,2.128,0,-0.696,0,5.737,0,0,1.387,2.961,3.516,0,1.314,0,1.359,0,1.25,2.34,0,0,1.149,2.872,1.926,0,2.739,1.962,0,5.562,4.415,6.969,6.092,10.109,9.978,13.928,13.268,2.659,0,8.509,8.165,1.901,0,3.097,0,5.192,10.489,0,1.091,2.992,0,0,0,0,23.453,28.741,0,2.468,0,1.781,4.491,5.789,0,1.519,0,3.551,1.738,6.386,4.457,3.24,2.127,2.241,0,0,1.367,2.939,4.611,8.556,6.88,5.149,0.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491198151019999257.sgf,宇智波撧,許曉平,0.008,0.056,0.114,0,0.17,0.165,0.318,0.276,0.233,0.655,0.308,0,0,0,0.159,0.049,0.249,0,0,0.666,0.228,0.434,0.228,0.165,0,0,0,0.371,0,0.978,0.575,0,0.605,0.729,1.048,1.733,1.784,1.199,0.922,1.933,0,0,0,0,0,0,0.843,0,1.958,1.335,0,0,0,0,4.104,4.141,0,-0.269,0,0,3.702,5.919,0,4.581,0,2.656,0,0.86,0,0,2.815,7.152,4.432,2.616,1.937,0,3.314,0,1.97,2.597,1.666,2.375,1.147,0,2.283,1.457,1.05,1.942,2.634,0,1.203,0.767,0,-0.271,0,2.538,8.579,6.432,1.121,-0.09,0.45,2.307,0.773,0,2.057,0.651,0,2.486,1.946,1.937,2.031,0.848,0,2.431,6.399,4.162,0.491,0.986,0,0.198,3.218,0,-0.045,0,-0.056,0,0,0,1.004,0,0.157,0,0,0,2.89,1.465,1.835,2.642,1.683,1.657,0,1.145,1.459,0,1.082,0,0,0,0,0,0,3.545,3.421,8.137,0,-2.322,2.647,1.257,0,0.858,0,-0.956,1.391,0.079,0,0,1.529,0.44,0,-0.127,0.356,0,0,0.55,-0.07,0,1.083,0,5.282,0,2.22,0,0,3.224,-0.614,0,2.177,0,4.56,2.853,-0.401,-0.657,4.105,0,-1.923,0,4.677,0,4.61,0,2.586,3.023,5.721,4.935,2.033,3.779,2.773,2.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491376377019999933.sgf,棋烟茶,连败连笑,0,0.044,0,0.125,0.182,0,0,0,0.407,0.185,0.09,0.228,0.252,1.19,0.597,0.691,0.427,0.33,0.297,0.724,0.603,0.177,0.141,0.29,0.59,0.233,0.49,1.757,0.903,1.717,0.289,0,1.103,0,0.108,0.236,0.167,0.453,0.73,0.581,0,0.285,0,0,0,0,0.355,0,0.105,0,0,0,0.973,4.534,2.889,0,0.299,0.431,1.976,1.083,0.522,0.529,1.239,0.863,0.574,0.352,1.528,1.552,0,1.209,0.004,2.243,1.267,3.861,0.976,2.03,0,0.59,0,1.649,1.749,1.221,4.341,4.682,4.401,6.002,6.066,7.885,7.252,3.257,3.685,0,1.1,4.574,3.407,0,0.451,0,1.77,1.306,1.39,0,0.598,0.996,0.607,0.479,0.348,0,0,0,1.326,1.041,0,0.85,1.661,0,0.407,0,1.781,0.603,2.604,0,0,0,0,0.623,0.988,1.011,0,0,2.523,0,0.57,0.874,0.344,0,0.357,0.67,0,0.026,0,0.185,0.334,0,0.083,0.328,2.947,0,0.693,0,0.617,0.787,2.04,1.704,0.787,0.953,0.571,0,0.71,0,2.196,0,0.747,0,0.557,0.087,0,0,0.885,0.883,0.351,0.607,3.818,1.647,0,0.349,0.338,0,0.188,0,0.027,-0.05,0,0,1.031,1.319,0.395,0.863,0,0,0.504,0.527,0.875,0.629,0.186,0,0.349,0,2.18,0.699,0.897,0.474,0,0,0.573,0,0,0,0,1.293,1.286,1.305,1.068,0.641,0,0.586,0,0.477,0,0.314,0,0.177,0,0,0.157,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491386777019999031.sgf,ycs6254606,黑金1111,0,0.054,0.164,0.096,0.109,0.32,0.216,0.213,0,0,0.615,0,0,2.923,0,0.886,0,0,0,0,-0.255,1.58,1.37,0,0,0.98,0,0,-0.041,3.293,0,0,0,-0.389,0,0,1.017,2.605,0,0,0,0.845,0.521,0,0,0,0,0,-0.764,0,0,0,3.022,0,1.018,0.48,0.934,2.554,1.115,1.107,0.957,1.284,1.445,0,1.233,0,-0.157,0,1.248,0,4.199,8.483,0,10.434,11.783,0.689,0,3.353,1.844,1.883,0,1.55,1.43,0.993,0,4.061,1.959,0,0,2.7,1.624,0.713,0,2.634,1.387,0.604,1.813,1.352,1.35,0.505,0,2.769,4.784,0.367,3.756,4.239,2.391,-0.289,2.377,8.929,0,2.724,0,0,2.696,0,0,0,0,4.336,0,3.936,0,2.268,-2.348,1.755,0,1.216,3.341,1.978,0,2.198,1.666,2.745,2.103,5.035,4.645,3.98,4.656,3.445,3.148,5.241,4.196,10.861,9.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
