ファイル名,黒,白,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400
1489206219019999703.sgf,一大波DJ,阿建010230,0.918,0.081,2.533,0.791,2.349,0.886,3.628,0,1.144,0.238,0.167,0.41,0,0.479,0.441,0.784,0,0,0.587,1.006,1.25,0.511,4.225,3.434,3.331,3.909,4.563,5.771,6.939,3.04,3.531,3.218,2.655,5.113,3.52,4.985,3.71,2.788,1.284,0,5.295,3.921,2.188,4.143,3.744,3.486,4.182,0,4.578,2.968,0.198,4.07,5.048,6.59,1.794,7.318,4.935,6.716,6.716,3.947,8.626,5.283,9.464,5.444,14.611,4.083,12.508,8.274,12.852,9.247,14.319,6.146,7.916,6.675,7.058,4.89,11.436,11.959,8.255,6.53,0.885,8.988,0,3.195,0,15.478,0,1.263,0,8.594,3.05,3.32,2.462,3.096,3.793,0.504,0,4.659,0.714,0.895,2.564,0,3.586,0,0.355,1.331,5.371,5.298,5.727,5.507,8.901,11.366,0,0,0.248,9.641,5.944,5.609,2.291,9.316,4.435,9.439,5.898,5.022,0,0,4.484,9.754,9.124,7.543,5.184,5.705,5.416,8.631,9.552,8.929,11.716,10.828,9.895,6.594,5.361,6.386,5.748,7.746,7.573,7.981,7.318,6.955,7.917,9.024,10.09,9.567,9.675,9.436,6.257,6.947,6.825,6.561,6.163,7.076,7.641,9.365,10.073,6.059,7.613,7.999,2.993,2.389,0.394,0,4.003,2.983,6.809,0,1.09,0,1.671,0.289,0,0.316,1.803,1.073,0,3.288,1.144,1.767,6.686,0.146,0,0.735,0,2.162,0.455,1.323,0.887,1.008,1.266,0,0,-0.096,0,0.127,0.993,2.399,0.229,0,0.574,0,2.276,1.865,3.346,2.882,3.25,3.372,2.919,2.803,0,0,0,0.091,0,1.242,0.107,0,0,2.642,2.65,2.216,2.072,0,0.964,1.048,1.077,0.055,0,0.135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490016152019999689.sgf,田野010290,"安好,清风",0,0,0,0,1.231,2.909,0,7.656,0,6.299,0,0,4.454,13.167,0,4.103,0,4.186,4.417,3.389,5.311,5.803,0,2.82,11.494,10.004,9.952,10.012,0,0.227,1.556,5.804,0,3.426,0,3.701,2.797,0,2.251,1.276,1.66,0,1.406,0,1.209,7.441,1.469,3.878,-0.491,6.976,0,7.047,0,0.511,0,0,6.179,8.322,5.867,6.418,3.68,1.42,3.111,6.564,9.434,0,10.977,0,2.191,0,3.372,3.192,2.848,8.065,5.53,5.635,6.025,6.707,7.368,11.338,0,0,11.485,3.574,1.562,0,3.132,3.665,2.145,3.873,2.375,4.646,3.274,5.779,4.366,7.053,5.361,8.499,8.977,5.063,8.059,3.204,7.354,5.295,5.97,5.676,4.746,8.522,8.027,9.616,4.522,0,3.161,2.588,3.825,0,2.275,6.458,9.588,7.809,7.089,5.762,8.021,5.511,12.105,3.288,9.689,8.169,11.378,0,1.687,2.22,6.292,6.381,1.556,3.69,3.15,0,1.527,1.637,1.158,4.814,5.769,2.863,3.85,0,6.271,0,3.372,4.726,0.918,8.688,2.372,2.118,3.049,0,5.672,11.213,0,7.483,2.536,8.991,5.392,6.538,7.203,5.137,0,8.203,3.22,11.488,12.705,18.747,17.078,19.256,21.978,19.249,18.245,14.264,14.363,4.289,1.422,5.557,0,2.055,0,6.276,0,17.336,21.314,22.783,20.097,18.402,18.485,19.864,6.074,7.109,0,5.766,29.797,21.93,29.742,2.369,0,16.044,17.188,19.877,27.384,0,5.921,0,12.021,0,2.749,0,3.329,0,0,1.583,0.5,1.52,2.544,4.369,0,3.221,2.019,2.781,4.785,17.372,17.361,52.996,0,30.425,24.071,20.993,14.441,7.728,26.886,0,70.648,0,10.568,6.731,3.449,3.304,3.075,3.431,5.275,0,0,0,0,0,18.529,23.778,19.714,3.379,22.378,30.112,3.249,0.844,34.079,29.24,0,5.326,36.309,0,4.337,0.905,0,1.974,0,2.128,3.628,0.409,0,3.553,7.333,14.991,0,12.468,4.903,5.971,0,-2.08,0,1.043,0,1.997,3.348,0.874,0,3.05,0,3.097,2.863,2.725,2.449,-0.245,2.916,3.055,2.12,27.743,0,2.59,2.583,2.281,2.053,2.131,2.087,2.01,1.968,1.497,1.537,2.229,2.084,0.243,0,0,2.325,0.959,0,0,0,0.432,0,0.179,1.085,8.226,0,0.171,0,0.884,0.987,0.937,1.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494246032029059669.sgf,賈懿,303398283ღ,0,0.049,0,0,0.308,0.473,0.139,0.45,0.962,0.835,2.347,5.248,3.336,4.329,0.782,0,1.573,4.917,3.074,0,6.29,0,1.407,0,10.031,8.159,0,0.288,0,0,0,9.657,0.456,3.478,0,-0.376,0,9.354,1.505,3.387,5.665,5.172,2.404,2.729,1.179,3.204,4.298,5.291,3.013,4.021,4.053,1.393,3.053,2.924,2.979,6.282,3.025,4.436,3.283,9.81,7.965,5.754,4.423,5.333,2.388,3.115,0,1.555,2.206,0,0,3.451,5.73,0,3.186,-0.151,6.094,5.193,0,6.099,0,0,0,5.624,11.368,11.747,1.877,14.513,0,9.131,12.584,8.849,3.68,7.605,6.744,10.644,10.332,11.021,11.967,6.641,9.807,12.758,11.005,3.75,2.438,6.836,8.532,14.197,1.015,2.434,3.446,7.22,9.364,0.799,1.799,0,0,0,0,4.739,6.771,5.822,7.255,3.878,7.677,8.126,2.964,0,7.974,5.673,8.982,8.98,0,9.004,0,6.57,0,7.841,8.852,2.505,10.831,19.757,16.335,8.618,17.166,16.645,18.396,17.186,19.796,17.559,6.386,11.954,17.418,17.69,0,17.165,11.3,12.28,10.828,3.091,2.044,13.794,17.726,10.781,12.052,17.712,11.438,12.186,11.526,10.813,13.605,13.432,15.983,16.423,15.936,16.964,15.328,14.903,13.879,12.964,13.801,1.275,0,9.769,9.464,21.155,18.383,16.615,11.028,15.664,22.032,12.017,17.024,22.767,21.468,4.662,2.727,10.335,10.386,8.706,20.068,20.213,9.09,7.645,7.513,2.466,10.922,12.607,2.202,19.331,19.426,6.62,6.368,3.048,3.822,1.848,1.944,1.82,0,0,3.813,-0.28,1.252,0,0,6.973,6.019,21.299,16.792,3.447,0,2.515,2.975,2.67,0,15.89,16.818,12.435,5.49,8.871,17.658,18.023,12.666,-1.57,2.14,2.533,0,0,24.55,0,1.053,0,0,32.93,20.516,0.937,0,11.95,24.42,43.419,38.725,0,0,28.935,32.98,5.579,0,37.113,47.289,12.219,0,39.298,39.87,0,4.647,3.077,8.142,59.393,10.269,1.241,0,0.575,0,0,3.197,0,12.224,3.031,0,2.408,4.472,10.623,9.208,10.775,10.622,11.333,11.474,11.06,0.639,4.113,3.95,0.548,0,1.203,1.296,0.07,0.599,0.526,0,0.416,0,0.387,0,0.291,0,4.226,1.661,4.074,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495275117019999581.sgf,王柯,19010102,0.926,0.056,0.234,0.283,0,0.559,1.099,0.756,0.778,0,0.023,0.079,1.635,0.764,3.024,0,1.484,0,2.08,0,0.636,1.545,3.447,0.416,0.591,2.637,0,3.121,1.069,1.104,0,3.447,7.01,1.536,6.563,0,0,5.867,6.166,5.843,6.062,4.141,4.137,5.865,6.742,4.275,0.006,0.521,0,2.256,0,1.527,0,0,0,0,0,0.191,2.464,0,1.115,0,2.614,2.162,0,0,0,7.066,1.503,5.491,9.383,6.714,6.003,3.072,0,5.391,9.78,5.576,5.814,6.181,5.61,3.811,3.804,7.642,8.95,8.352,10.228,11.325,7.636,7.167,10.879,8.858,11.164,7.625,8.127,5.977,9.538,8.727,1.455,0,6.851,4.764,2.834,0,13.113,11.784,13.033,13.344,12.083,8.54,13.657,11.521,11.558,10.498,14.947,9.812,8.341,10.051,9.026,6.275,4.364,3.325,4.986,3.792,1.039,0,3.456,3.299,1.144,0,11.034,11.842,14.33,9.443,6.663,6.16,7.722,7.787,5.866,6.193,5.414,6.428,4.726,9.24,6.66,8.389,5.478,6.058,2.714,0,4.311,4.704,5.553,6.234,7.492,6.783,5.724,6.664,6.516,7.658,6.456,14.918,12.418,14.178,16.226,2.471,2.834,9.933,9.763,12.909,13.73,16.794,16.444,15.855,13.401,13.423,13.288,11.593,10.593,9.137,10.818,0.884,9.774,9.318,6.766,8.722,12.226,0,4.158,0.666,3.114,12.068,18.881,18.336,13.841,13.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495371696019999203.sgf,jgpoon,x19,0,0.167,0.057,0.137,0,0.091,0,0,0.259,1.458,1.397,2.702,0.814,0,1.13,0,0.456,6.132,1.609,1.967,4.348,11.866,11.519,3.544,2.919,3.497,4.735,2.373,3.349,4.695,4.613,3.28,2.359,2.025,0.52,3.206,3.859,7.641,0,0.383,0,2.829,5.294,15.68,3.38,3.196,8.673,10.012,7.389,3.437,3.538,2.729,3.471,3.355,3.842,2.941,2.939,2.087,1.806,2.266,4.514,5.51,5.117,7.381,5.692,5.72,4.763,5.2,2.69,2.669,2.738,2.471,0,5.36,0,1.924,2.241,7.492,5.812,2.316,0,1.913,0.385,7.384,9.519,0,0,0,1.105,2.66,0,15.643,14.604,1.942,0,7.295,9.666,16.332,15.082,17.249,15.411,16.699,15.529,17.378,16.994,13.027,12.239,8.258,10.679,9.951,6.129,6.185,4.593,5.834,6.456,7.105,4.225,6.137,5.642,1.081,0,7.842,5.727,8.614,2.206,0,3.216,1.182,9.869,12.961,4.854,3.61,5.357,5.056,2.633,3.113,0,3.441,6.885,1.546,0,3.047,4.688,2.115,1.707,3.838,2.993,0.654,5.223,5.326,0,3.274,4.106,1.697,0,5.412,3.155,3.478,6.694,6.021,5.137,5.447,2.691,4.673,4.991,8.044,8.347,11.441,2.686,9.294,8.515,6.03,0,13.068,2.55,0,9.445,10.373,5.688,0,0,0,11.365,17.258,17.783,3.443,2.383,4.627,11.542,0,3.394,0.737,0,0.856,1.646,2.162,2.328,9.262,13.701,18.594,17.857,14.487,1.913,0.103,14.265,17.401,17.663,17,16.504,15.87,11.774,14.859,13.737,14.079,11.104,13.04,15.311,18.851,18.279,17.691,12.712,14.207,15.949,18.81,19.675,0,5.492,2.84,1.829,2.572,1.917,3.047,2.022,0.574,0,3.637,0,0.418,-0.609,2.55,0,32.211,33.636,1.492,0,35.568,35.869,0,5.377,3.636,3.884,0.191,0.374,0,0.653,1.237,2.245,0.282,0,0,0.36,0,0.977,1.84,1.881,2.074,1.979,1.998,1.858,0,1.141,1.097,1.087,1.037,1.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497308505019999031.sgf,醉和尚,바둑전사,0,0.052,0,0,0.297,0.249,1.056,1.176,0.383,1.035,1.451,0,0,0.465,0.5,0,2.401,0.782,0.109,1.752,0.622,1.278,0.538,0.532,2.677,0,6.264,0,0,0,0,0,0,10.536,0,5.91,0.279,0,0.777,0,1.833,0,0,0,0.635,6.961,0,6.172,1.896,0,0.582,10.57,7.795,6.653,1.03,1.426,0,0,0,0,3.103,3.204,3.94,2.882,3.968,2.642,2.408,1.841,4.698,3.569,0,8.568,3.647,1.108,0.333,1.902,1.509,0,2.302,5.425,6.829,2.734,2.015,3.114,0,3.876,0,13.715,9.19,7.979,7.954,7.427,7.904,7.801,11.213,2.42,14.896,10.316,0,14.095,0,1.792,1.54,-0.19,6.423,10.909,10.269,7.964,6.237,0,9.905,7.273,0,5.453,0,12.036,0,0,12.093,18.214,14.318,1.765,7.105,5.938,0,2.112,0,8.779,17.114,0,10.899,39.994,87.583,0,12.852,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498197407019999779.sgf,注册QQ,1113方法,0.114,0.176,0.145,0,0.182,1.26,0,0.375,0,0.336,0.462,0,0,0,0,1.499,1.911,-0.016,0,0,0.156,13.8,0.483,1.679,0,0.386,0,0.318,0.687,0.802,1.077,1.492,3.241,0,0.302,3.582,4.368,0,0,3.666,1.064,2.068,1.136,1.11,0.778,3.849,0,3.252,0,9.379,0,1.185,0,2.328,0,0.864,0,1.06,1.026,0,0,0,0,1.297,0.581,0.926,1.684,14.741,3.383,3.837,1.77,0,0,3.373,4.228,0,2.249,6.567,3.681,2.501,0,4.095,8.778,4.771,4.341,5.546,5.507,4.529,3.211,7.712,6.846,6.099,5.385,0,0,8.31,6.927,6.71,5.891,7.275,3.031,3.006,2.051,5.606,4.473,0.389,0,14.582,12.221,11.188,9.923,9.859,11.006,1.258,0,1.399,0,14.17,7.269,11.488,6.395,9.864,8.013,4.35,4.727,4.606,3.206,4.006,4.638,0,6.104,3.491,6.439,5.277,0,11.519,3.415,16.516,14.358,18.382,19.049,11.429,11.966,11.303,15.796,17.155,0,2.856,0,2.87,0,27.576,28.229,25.326,25.036,15.719,16.392,0,1.419,2.078,0,30.595,30.425,30.657,0,1.566,1.135,0.736,0,10.558,4.35,4.474,1.669,10.965,11.016,10.635,9.767,1.265,0,11.948,10.818,11.906,11.601,11.695,11.929,5.37,3.125,3.334,2.761,2.106,1.762,1.112,0,3.73,0,8.229,7.519,7.032,0,4.421,7.088,1.468,3.291,2.462,3.281,2.814,0,5.7,2.327,7.533,2.208,0,2.085,6.085,0,0,0,0,0,0,0,32.006,17.523,33.045,0,1.784,0,4.613,0,1.753,3.832,0.511,0,0,1.712,0,0,0,1.531,1.229,66.681,0,-1.141,0,85.012,0,0,0.188,0,5.875,6.007,6.19,2.735,2.244,3.375,5.973,6.187,6.197,6.092,6.155,6.038,6.241,3.134,5.173,5.368,5.15,5.029,0.386,0,0.273,0,4.976,0,1.951,0,2.143,2.152,2.557,2.639,0,0,0,1.111,0.348,0,2.069,2.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499334840019999973.sgf,上山虎0123,左眼跳跳05,-0.017,0.154,0.154,0.114,0.276,0.268,0.177,0.434,0.448,0.789,0,2.522,2.709,1.549,0,0,0,0,0,2.757,0,0,2.038,8.975,0,1.572,0.174,0.912,0,0.656,0,3.492,0.791,2.772,7.97,0,1.955,5.829,3.126,1.459,1.49,2.205,0,2.217,8.004,2.91,0,3.628,0,1.277,4.556,5.199,4.827,3.065,5.175,4.438,0,0.341,0,0,3.891,4.204,1.437,1.71,1.956,0.971,0.531,0,3.097,1.959,10.2,15.472,4.208,1.592,2.823,3.122,-0.086,0,0,4.914,0,3.974,5.841,5.655,3.878,5.737,3.401,5.151,4.501,2.668,2.228,2.731,5.829,16.578,4.782,6.287,2.017,7.587,5.909,4.172,0,6.751,15.987,12.892,0,6.332,0.22,7,5.346,3.992,1.347,6.564,2.725,4.602,0,3.869,6.647,5.424,2.555,2.387,5.12,6.277,0,2.194,0,3.424,0,1.263,0,16.099,6.807,20.293,0,10.89,3.299,0,12.325,3.969,2.857,1.926,0,5.817,12.017,13.724,11.42,2.708,6.701,25.197,0,8.109,0,8.774,16.25,3.476,48.016,9.304,9.303,5.904,13.926,5.305,2.678,7.617,8.707,2.902,0,6.775,0,2.255,0,3.734,0,55.984,57.556,51.084,62.008,44.353,23.737,45.401,52.695,48.832,38.644,34.846,34.929,47.67,45.51,87.416,90.913,76.872,77.375,22.489,21.569,64.187,63.863,62.958,70.164,70.063,73.026,16.843,17.354,27.333,35.744,21.507,20.385,21.359,21.42,89.859,86.491,89.441,89.225,86.594,86.786,92.039,75.211,93.642,93.197,94.062,93.709,93.592,94.266,93.403,93.34,93.597,93.538,93.261,93.591,93.475,0,-1.001,0,-1.361,0,2.86,0.644,2.641,4.157,4.447,3.707,2.742,2.633,5.806,5.014,0,0.662,0.207,0.025,-0.183,0.677,-0.027,0,1.252,2.981,3.263,3.435,3.425,3.271,0.661,1.141,3.386,2.911,2.533,0,-0.12,0,0.787,0.268,-0.055,2.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500245259019999186.sgf,笑长空,henryhu,0,0.058,0.065,0,0.093,0.201,0,2.475,1.698,0,1.845,0,1.99,0,0.551,0.688,2.134,0,4.48,7.433,0.547,0.46,7.144,2.978,4.328,0,0,0.438,7.837,0,6.46,0,0.88,0,7.922,11.924,6.823,0.355,3.052,0,0.82,0.912,6.001,0,2.29,6.763,4.49,8.679,4.321,5.949,5.55,0,1.497,1.874,0,1.452,0.272,0.931,0,1.203,4.911,3.217,7.228,0,3.852,3.834,1.45,5.051,8.534,1.095,5.676,10.905,7.427,12.945,0.828,0,0,1.38,0,0,0,3.68,3.343,3.465,4.904,3.7,4.222,4.533,3.321,1.424,6.721,12.888,9.665,12.423,9.607,0,5.487,4.673,8.471,4.125,3.4,1.324,0,3.302,2.391,2.478,0.551,2.285,4.124,4.438,2.231,5.3,4.288,3.06,1.502,8.591,8.215,0.716,10.326,0,5.607,6.199,5.42,2.95,2.595,0,3.831,0,5.246,4.037,5.235,5.729,7.044,4.255,7.118,6.619,1.578,1.734,5.935,4.013,5.463,6.89,4.342,8.39,1.592,0,1.423,2.917,0.482,0,14.501,3.69,3.334,26.209,31.92,0,9.883,0,16.852,0,9.972,43.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501144777019999751.sgf,zyuan,墨色的鱼,0.005,0.065,0.148,0.077,1.272,0.27,0.219,0,0,0.339,0,0,0,1.539,0,3.531,0,0.272,0.194,2.145,3.299,-0.346,0,0,0.876,1.103,2.59,2.269,2.783,1.25,1.146,1.14,1.035,0,0.709,1.581,1.577,3.563,2.373,4.494,3.884,2.925,5.297,5.376,2.637,0,0.766,3.095,0.828,0,2.195,4.979,0,0,2.477,3.105,0,3.453,15.435,2.553,3.131,0,0,1.633,0.599,3.981,1.214,-0.22,0,0.735,7.911,9.536,4.74,0,0.382,0,1.968,13.241,0,0,0,5.742,3.741,4.422,5.45,6.781,3.002,3.181,3.112,5.06,3.368,0,1.593,1.231,6.152,0,2.938,6.044,1.611,1.485,0.934,0,7.892,0,7.217,6.933,1.464,0,7.218,9.667,4.774,1.115,1.935,0,0.118,0.229,0,1.129,0,1.702,0,2.268,0,0.702,4.318,0,-0.607,2.716,8.68,0,0,0.249,2.538,0.299,0.941,0,7.006,5.172,8.055,6.844,8.999,5.763,13.205,13.161,12.901,13.182,9.408,7.717,5.035,4.808,1.003,0,8.607,3.516,3.308,9.408,7.223,8.513,6.882,1.894,4.111,0,8.98,10.76,13.681,13.199,10.501,12.61,14.019,7.502,4.274,0,8.078,8.34,0,23.725,0,0.507,0,2.525,39.051,17.218,26.535,2.499,5.792,0,3.367,3.533,1.209,3.593,3.142,6.342,4.943,3.591,6.7,7.916,5.023,0,-0.124,0,7.923,8.931,4.256,7.151,8.473,9.457,6.385,5.568,5.554,4.923,5.436,7.178,6.434,2.445,0,3.849,2.016,0,0,5.412,7.588,7.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
