ファイル名,黒,白,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400
1486292493019999255.sgf,wa6813,忆?01,-0.009,0.05,0.133,0.078,0.785,0.825,0,0,1.029,1.426,0,0.213,0.437,0.491,0,0.794,0,0.351,0.317,0.021,0,0.587,1.036,0,0,0.099,0,0.355,1.738,0.95,0.354,0.37,2.247,1.358,4.594,4.158,1.126,1.099,1.366,0.616,0.805,0.561,3.709,2.273,0,1.326,0.189,0,0,1.318,0.929,0.075,2.598,2.264,9.099,0,1.021,6.387,0,0,0,0,4.062,4.81,0.894,0,0.093,0,1.279,0,6.122,0,-0.4,0,1.865,3.849,2.315,0,2.273,2.346,0.185,2.591,0,0.634,0.873,0,2.014,1.011,-0.091,3.317,2.045,0.871,5.444,0,0,0,5.919,0,6.434,3.474,5.005,4.891,4.836,2.791,2.908,7.731,6.681,5.633,2.7,4.251,6.155,4.923,3.792,7.792,4.65,4.416,7.949,4.283,6.127,7.395,5.255,4.101,1.78,0,4.568,0.371,0,8.709,8.964,6.699,8.505,9.188,5.347,3.15,6.261,0,3.818,0,6.015,6.626,4.259,0,5.218,5.629,7.505,0,6.44,8.99,6.39,7.559,9.689,7.437,5.954,2.926,5.213,0,11.14,9.278,14.896,0,10.3,11.723,18.246,14.773,0,0,2.026,2.566,0,2.352,4.341,3.967,0,8.411,5.884,2.843,10.244,8.64,0.51,0.267,5.404,18.859,20.78,26.298,11.992,7.01,1.673,0,10.366,8.487,5.653,9.868,8.765,16.206,18.498,21.451,36.047,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486987523019999001.sgf,适当方?,é»‘æ‰‹888,-0.001,0.053,0.019,0.122,0.719,0.572,0.395,0.947,0.355,0.375,0.743,0.218,1.608,0.19,0.151,1.254,1.201,1.448,0.771,1.009,0.346,-0.089,0,3.344,0,4.859,1.828,3.532,1.391,2.47,1.731,0.139,0.28,0,0,0,1.627,1.285,1.603,0,0,0,2.162,1.885,2.712,3.175,0,1.644,4.079,5.375,6.273,0,2.217,0,3.524,3.142,1.039,1.44,0.816,3.461,3.669,1.165,3.177,3.025,2.505,0,0.458,1.71,0,0,1.977,0.354,0.109,3.089,0.956,0.328,0,3.469,0.579,2.527,1.204,5.777,5.489,0,0,0,0,0,2.423,0.996,3.382,0,0.837,0,0,0.098,10.23,0,4.926,6.34,2.506,2.196,6.795,0,3.895,0,2.445,8.198,0,0,0,41.126,0,4.652,23.291,22.844,18.282,19.47,25.595,25.882,0,0,0,0,8.649,0,29.698,0,0,0,0,25.837,0,8.109,28.766,0,-0.004,0.641,5.623,2.167,-0.126,0.565,0,8.702,0,1.565,5.7,0.603,0,1.234,0,-0.281,3.303,2.974,0,4.312,0,0,13.271,8.041,15.652,19.872,20.857,23.116,17.081,12.903,17.132,6.841,13.546,0.326,0,11.822,0,0,18.628,0,0,0,0.747,0,10.05,0,5.347,8.195,0,0,23.227,0,0,4.358,0,0,4.95,3.944,4.596,0.789,5.135,5.044,3.76,5.339,9.169,1.497,1,2.06,3.573,4.179,0,3.922,0,11.038,13.112,4.584,4.097,7.499,11.845,6.842,4.307,7.072,3.14,20.83,19.28,13.06,12.331,14.382,8.684,5.581,0,17.804,17.008,16.555,17.091,0,6.26,7.307,1.843,0,6.516,0,3.626,4.789,11.01,8.166,7.96,8.425,7.426,7.557,10.359,10.857,7.156,0,3.008,0,6.652,6.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486988978019999926.sgf,rfgaerarr,适当方?,0,0,0.137,1.273,0.806,1.956,0,1.043,1.137,1.591,0,0,0,0,0.982,0,1.453,2.194,2.31,2.321,-0.224,1.497,0.609,0,4.014,0.469,0.608,0.266,0.041,2.971,0,1.493,0.947,4.319,4.837,2.352,4.001,4.06,1.878,2.486,1.273,0,0,0.372,2.988,2.25,3.294,4.884,4.511,1.15,1.301,3.028,4.229,7.395,0,3.676,3.21,3.017,2.483,1.328,3.592,3.252,2.164,0.149,1.031,4.558,3.007,2.446,0,2.084,1.036,3.132,2.486,1.998,0.667,2.221,2.559,1.825,3.312,4.286,0,4,8.386,8.701,2.795,0.92,0.606,2.176,0.759,6.772,9.717,2.663,2.884,2.132,1.787,3.746,0,0,1.912,4.394,1.352,1.395,0,2.018,1.107,3.484,1.507,1.31,0,2.946,0,0,0,4.369,1.629,3.433,4.841,1.66,1.598,1.25,0,1.816,2.82,0.259,0.569,3.71,0,0.655,0,0.388,0,0.757,0,1.909,3.347,2.754,1.875,2.038,2.18,1.339,3.68,3.794,3.706,1.769,3.476,1.6,0,1.211,1.342,1.806,2.012,0.655,0,0.381,0,2.27,2.525,2.904,2.445,2.076,2.226,1.509,2.436,0,0.363,4.321,4.425,3.71,3.971,4.797,0,4.29,6.475,6.679,6.566,6.48,8.569,7.911,1.417,0.891,8.535,7.824,7.531,7.564,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487891044019999449.sgf,希望会好,å›´æ£‹æœ‹å?‹äº¤,-0.011,0,0.11,0,0.07,0.575,0.7,0.369,0.342,0.224,0.503,0.403,0.547,0.828,0.115,0.345,0.645,1.491,0,0,4.504,2.995,1.885,1.62,0.081,0,7.893,1.309,1.654,0.859,-0.234,0,0.083,0,1.737,2.332,5.283,4.001,2.514,2.131,4.758,8.349,0.751,1.813,4.484,3.988,3.159,0,0.303,0,1.367,0.728,1.183,0,0.592,0.176,0,1.322,3.879,2.065,0.575,0.652,0.294,0,0.89,2.545,3.216,3.991,3.358,2.649,2.065,2.861,-0.301,5.441,3.529,2.901,2.636,2.613,1.778,1.645,2.315,2.864,1.779,3.016,4.337,3.747,3.531,3.389,2.497,5.609,1.428,0.88,1.785,1.466,4.084,2.647,4.252,6.106,6.319,5.751,0,1.611,0.794,3.101,1.695,1.206,1.232,1.216,1.852,2.715,0,2.004,3.902,5.917,1.306,3.316,4.606,0,3.849,8.387,0,1.104,1.89,4.391,0,3.23,4.067,13.497,4.109,4.696,4.726,6.535,0,2.301,8.707,8.841,0,16.694,0,5.608,0,3.815,12.064,5.849,10.06,0,3.049,0,13.476,0,12.381,9.516,3.376,7.845,35.536,21.35,28.946,0,1.107,0,0.776,0,5.169,9.626,0,0,1.33,0,0.201,0,0.605,1.375,1.269,4.202,1.719,0.284,0,1.568,3.23,4.109,4.904,6.568,5.962,9.119,-0.083,0,2.675,0,0.319,5.099,0,1.674,0,0,5.835,8.635,0,2.41,0,0.964,0,1.363,10.096,0,2.604,0,0,1.692,1.194,0,1.207,0,0,4.266,6.209,0,2.502,2.788,0,0.074,-1.786,0,0,0,0,1.306,7.314,0,0,0,0,2.158,1.973,1.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487944253019999031.sgf,适当方?,æ…§ç?µ,0.135,0.089,0.439,0,0.737,1.199,0,0.13,0,0.299,0,0,4.846,1.816,1.76,3.046,2.59,0,0,-0.176,0,-0.656,1.28,0,4.171,0,0,6.45,7.395,0,2.64,4.838,-0.597,3.1,0,0,0,2.122,4.61,1.937,6.073,0,1.127,1.044,3.32,1.556,6.93,1.425,1.516,0,1.064,0,-0.055,3.05,2.505,0,3.645,1.111,0,0,3.386,0,1.821,0,3.426,2.487,4.636,0,4.211,0,4.934,0,4.768,0,2.381,1.243,1.918,4.605,3.272,0,10.568,4.247,6.974,11.097,2.564,4.432,5.448,9.635,0,1.516,0,2.06,1.556,1.168,0.573,3.728,0,4.304,6.93,0,7.713,0,0,0,0,0,5.087,3.366,2.336,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488259455019999146.sgf,适当方?,é›¨ä¹‹éŸµ01,0.49,0.381,0.16,0.049,1.171,0,0.946,1.238,1.06,0,1.198,0,5.117,0,2.689,4.06,4.763,2.738,0,2.909,2.122,2.319,2.409,0,0,4.759,1.931,0.768,2.848,5.463,0,0.959,1.665,2.274,0.847,1.739,2.01,1.936,1.077,2.19,1.801,0.558,5.688,3.016,1.679,0,5.62,4.319,2.07,1.876,0.487,0,0,0,1.975,1.002,1.028,1.591,0.544,0.373,0,1.496,3.238,1.708,3.323,0,1.998,1.743,3.999,1.968,4.267,1.016,3.646,1.811,7.648,4.151,3.384,3.899,3.116,0,7.97,0,5.083,0,7.284,6.945,2.124,4.852,5.44,4.691,6.559,5.333,8.057,8.465,7.167,2.973,6.908,8.165,2.69,3.047,2.347,4.063,1.708,0.663,4.825,3.721,3.347,0,5.087,2.451,0,4.01,0,0,2.011,3.908,0,4.275,3.409,4.187,6.806,1.24,2.28,0,7.74,7.55,0.245,0,0,0,-0.054,1.252,6.15,7.425,2.278,2.042,2.234,0.826,3.299,2.015,6.468,5.612,23.461,0,0.778,0.758,8.427,8.457,2.282,0,4.366,0,0.52,0,2.309,2.039,4.766,4.339,12.319,6.688,3.329,0,11.523,0,4.64,7.984,0.16,0,2.26,0,1.262,2.207,0.559,0,3.678,5.798,0.73,0,4.953,3.844,2.463,0,0.767,0,2.673,2.077,0.364,0,1.062,0.998,4.157,0.321,0,0,0.532,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488331365019999601.sgf,éš?æœºæ¼«æ­¥é»‘,希望会好,0,0.042,0.159,0.178,0.269,0.131,0.34,0.226,0.15,0.379,0.454,0.64,0.324,1.116,1.139,0,3.296,0,3.992,2.417,0,2.068,1.573,3.658,0.723,0.478,0,4.172,0.548,1.528,1.857,2.669,6.6,0,4.643,4.157,3.935,0,0,3.224,0.965,7.826,0,0.784,0,0,0.079,3.914,3.873,6.016,5.497,3.935,0,0.851,2.315,4.197,3.307,2.065,7.419,0,3.356,1.04,3.837,0,5.113,-0.385,0,0,0,0,7.79,0,4.173,9.252,15.684,0,2.631,0,0,0,0,1.968,0.237,0,0,0,3.517,1.31,2.359,0,8.399,0,0,0,8.977,5.436,16.264,0,0,0,0,8.379,3.993,4.148,2.647,0,3.303,3.234,2.252,4.241,0.896,0,0,6.931,5.12,2.686,1.887,1.75,0.862,0.588,1.334,2.159,0,3.765,10.735,1.481,0,3.717,0,9.34,10.894,17.751,16.939,14.235,0,0.06,0,0,4.516,7.376,0,4.713,0,8.321,7.139,3.397,0,5.411,0.391,12.047,4.632,0,0,0,0,0,3.033,0,0,0,1.009,3.459,0.463,4.616,0,8.135,0,2.715,7.651,1.537,0,0,0,3.958,3.612,1.156,0,6.331,2.726,3.312,0,0.425,0,2.944,1.981,1.059,2.581,2.57,12.289,0,0,-23.385,0,5.479,0,33.309,0,4.347,0,0.688,0.012,11.595,8.471,8.744,7.997,0,0,5.237,2.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489144791019999038.sgf,æš—èƒ½é‡?o,忆?01,0.103,0,0.047,0.06,0.22,0.176,0.24,0.587,0.359,2.41,0,0.337,0,4.35,0,3.951,0,1.32,2.123,0.726,0.043,-0.017,4.068,2.282,1.359,1.69,-0.17,1.289,2.823,2.42,2.381,0.201,2.91,4.592,3.08,1.805,0,1.061,0.369,2.112,1.671,5.997,14.445,4.643,5.44,3.301,9.437,9.149,1.15,5.314,0,1.888,2.842,1.288,0.556,3.857,6.31,6.276,2.503,0,2.579,1.98,1.538,0.965,0,0.893,0,1.659,-0.224,1.078,0,3.949,6.905,14.117,0,6.949,2.252,3.524,0,7.395,0,3.597,0,6.196,4.244,4.077,3.497,1.318,0,6.334,0,2.832,4.094,3.279,5.356,1.005,0,0,0,0,27.475,0,0,0,0,0,5.299,0,0,9.513,10.375,0,9.132,19.439,9.67,10.136,8.407,3.054,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489163257019999465.sgf,适当方?,æš—èƒ½é‡?o,0,0.168,0.117,0.096,0.122,0.367,0.399,0.387,0.662,0.942,1.909,0,0,0,0,1.127,0,0,0,1.287,1.519,3.447,0.038,2.549,1.196,1.814,1.799,0,0.732,0.691,1.112,0.177,0.956,5.986,7.055,3.939,0.919,5.757,3.515,2.438,1.611,3.744,7.276,0.804,2.23,5.224,3.402,0,0,0,0,4.386,0,0,1.523,0,0,0.838,0,4.164,1.569,4.517,-0.062,0,0,11.098,0,0,2.526,5.04,0,0,4.95,3.624,0,0,0,6.986,8.926,19.033,8.469,1.814,0,2.784,2.652,6.464,7.645,6.118,2.259,7.401,0,0,2.681,4.862,9.17,0,2.535,0,0,9.573,0,7.742,24.991,0,6.205,1.75,0,16.978,18.516,-0.065,0,0,9.599,14.724,0,0,3.77,0,3.624,4.849,7.79,6.29,9.657,3.969,2.458,0,1.099,0,0,0,2.167,0,4.183,0,9.691,2.571,-8.224,11.033,20.354,29.976,13.266,15.537,16.195,12.566,19.297,-3.854,-10.15,17.087,11.094,6.854,-0.839,-2.928,37.831,0,-13.296,0,25.638,0,26.931,44.026,0,0,0,78.093,0,42.055,0,37.333,0,0,0,20.728,0,0,-18.22,0,0,7.73,0,0,0,0,1.411,4.828,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489242986019999105.sgf,适当方?,eneir,0,0,0,0,0.453,0.259,0.216,0.405,1.207,0.846,0,0.113,0.11,0.725,1.399,0.195,1.194,0,0,0,1.198,1.588,2.316,0.438,0,1.877,0,3.539,0,0,9.093,5.058,2.21,3.397,6.861,5.771,6.757,1.942,5.024,2.671,0.986,3.268,3.568,1.575,0,8.58,0,0,0,0,5.949,0,1.147,7.869,4.509,4.089,8.407,2.943,3.199,4.557,1.177,0,2.449,0,0,2.077,0,0.778,9.247,0,1.331,3.416,10.495,4.107,1.291,1.706,9.142,1.512,3.164,5.616,3.534,7.813,4.932,0,1.046,1.928,0.68,0.747,11.069,8.155,9.149,2.443,10.342,8.781,1.376,0,8.502,10.045,7.448,8.955,0.19,1.599,0,1.141,0,0,6.219,2.032,0,0.316,0,2.072,3.33,0,2.347,2.233,0,1.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
