ファイル名,黒,白,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400
1504408351019999461.sgf,Kå¼€Få°?Cè?œ,快棋手1234,-0.006,0.058,0,0,0.153,0.31,0.533,0,0.977,0.931,0,0.131,0,0.244,0.661,0.336,1.08,0,0.402,2.065,1.742,1.286,0,0,0.808,1.448,0.184,0,2.61,1.343,0.163,0,0.305,0,2.574,0,1.829,-0.18,6.422,6.077,-0.187,6.328,7.774,2.022,0.54,0.595,2.638,1.399,1.761,0.138,5.305,12.916,0,2.257,0.682,2.347,0,3.132,4.69,5.658,5.131,3.016,3.135,1.757,1.376,0.763,2.112,1.73,2.528,1.114,1.501,2.019,2.286,0.253,0.354,1.189,0,1.016,0,0,0,4.457,1.168,1.957,1.86,2.108,1.153,3.191,12.634,2.826,5.696,0,0,0,0,6.355,0,1.327,14.053,6.643,0,0,0.962,3.312,2.329,3.586,0.303,1.802,9.31,6.162,10.116,0,0,4.399,5.662,6.791,13.754,0,7.177,6.643,16.253,11.235,13.964,13.253,4.338,0,13.419,9.56,9.66,9.881,9.401,12.877,19.353,15.928,15.099,13.497,2.971,2.784,0,3.702,0,3.801,8.684,3.912,1.468,6.158,7.647,5.357,4.701,5.206,14.157,1.024,9.208,1.916,1.903,2.714,2.74,0,9.39,6.61,14.436,0,3.121,0,1.696,0,17.363,15.596,1.665,0,6.815,0,54.316,52,56.657,57.705,2.889,0,0,0,-1.446,-0.616,5.513,6.519,7.784,4.823,6.478,14.668,11.976,0,3.56,0,46.683,40.879,58.762,51.444,50.966,53.77,53.765,53.207,53.246,49.615,45.088,39.309,50.329,52.252,39.518,45.448,37.363,44.537,46.525,43.818,54.605,42.938,38.49,39.865,50.443,64.904,69.814,68.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506415957022109689.sgf,é£Žé›·å ‚,張?平,0,0.155,0.185,0.128,0.348,0.283,0.247,0.203,0,0,1.263,1.076,0.84,0.6,1.232,1.085,0.866,1.373,0,1.332,2.777,0,0,1.391,0.214,0.756,6.024,1.64,1.214,0,0.636,0,2.649,4.158,0.398,0.9,5.585,1.101,2.281,3.133,2.346,2.364,10.314,17.569,0,0.017,6.302,2.791,3.734,3.75,2.694,1.201,0,3.291,3.905,0,3.085,3.361,0.311,2.476,0.504,1.094,8.316,13.81,3.897,2.605,1.413,2.438,2.587,0,0.662,0,2.311,0,0,9.045,0,2.673,8.447,9.372,6.768,6.889,11.042,2.426,1.36,1.685,1.953,0.998,0,1.723,0,5.236,4.932,5.354,7.878,10.263,1.134,14.12,5.402,5.463,4.517,2.051,4.402,8.702,1.486,5.623,9.062,3.974,3.018,2.743,2.293,2.351,6.625,5.003,2.755,1.95,1.525,2.542,0,5.288,6.664,0.751,0.211,3.136,4.418,16.391,19.174,17.647,5.013,13.205,0,14.656,0,4.673,9.817,10.25,8.014,11.73,11.34,8.739,9.8,14.587,14.76,13.507,13.673,11.576,12.845,14.292,4.782,5.999,4.414,1.448,0,5.226,6.437,2.307,1.43,1.629,1.479,1.191,0,10.295,6.834,12.047,12.257,7.491,7.137,10.846,10.64,13.63,12.673,13.224,13.036,13.697,13.692,13.834,12.502,14.334,13.486,14.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506417511022109019.sgf,çŽ©å…ˆ,張?平,0.113,0.162,0.149,0.131,0.096,0.325,0.835,0.846,0.273,0.347,0.729,0,0,0.351,3.44,3.644,0.933,1.662,1.058,2.406,1.708,10.303,1.478,3.455,3.794,2.909,2.513,2.06,2.224,1.847,2.715,3.262,2.052,5.937,4.652,4.58,3.347,3.132,0.332,1.657,5.091,0,0.361,0.736,0.072,0.577,0.787,1.402,1.719,0,0,3.876,0,0.576,0,7.309,0,-0.684,10.389,8.873,0,5.938,21.492,0,0,8.481,13.783,0,3.377,2.317,2.281,1.773,3.279,4.208,3.73,3.547,2.078,2.993,4.83,4.315,1.418,3.5,2.978,1.432,2.59,2.467,2.289,2.852,3.018,3.988,4.968,7.512,7.426,4.512,5.306,2.968,9.822,7.69,9.735,10.37,11.181,12.182,0.689,0.94,5.494,0,0,4.853,5.638,5.508,6.607,4.438,1.893,4.819,2.635,1.487,0.707,4.277,0,0,5.723,3.291,5.749,7.868,7.895,2.005,2.466,0,6.359,2.27,4.351,2.317,0.019,3.005,0.758,3.536,7.344,2,4.627,0.025,3.297,2.032,0,-0.215,5.12,5.843,5.64,5.052,7.105,4.076,2.907,6.199,0,2.798,3.342,5.943,5.06,3.304,1.088,4.919,0,1.238,1.128,3.335,0.727,0.702,1.066,0.268,-1.572,4.586,2.854,3.182,1.716,1.419,9.38,5.615,0,5.05,6.508,0,4.913,11.555,-0.312,0.41,21.119,0,1.145,0,2.894,0,0,1.383,14.454,14.722,2.74,2.058,2.135,1.777,6.931,7.429,6.336,1.331,3.018,1.799,1.014,1.914,1.828,1.296,1.828,1.339,58.469,0,6.049,8.035,6.641,0,1.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507354695022109101.sgf,weiç©º,張?平,0.113,0.196,0.205,0.154,0.047,0.187,0,0.131,0.216,1.171,0.658,0.412,0.385,2.321,1.688,0.723,0,3.252,2.875,3.206,4.14,0.85,0,0,0.362,0.379,2.324,4.006,0,0.627,3.071,3.184,1.097,9.436,0,5.24,2.042,3.319,3.088,1.859,3.719,2.325,4.457,3.983,5.714,0,0,3.613,1.019,0.725,0.854,0,2.506,1.765,7.128,7.751,0.666,0,0,2.654,2.988,14.407,10.423,10.917,9.993,9.289,8.554,9.916,18.129,20.613,20.369,20.886,19.742,0,3.141,11.972,4.889,0.964,2.928,0.438,1.996,1.041,0.745,2.364,2.601,1.743,0,10.231,18.025,16.788,0,13.076,0,0,0,2.927,8.247,3.175,13.373,3.079,-0.425,8.517,8.488,3.623,0,1.048,2.025,3.554,0,3.728,10.505,5.93,13.987,0,1.164,2.975,3.601,3.839,0,6.878,7.049,7.516,0,1.82,0,7.57,0,1.815,7.878,7.991,0.121,0,6.075,2.396,7.913,11.272,0.438,2.454,6.351,4.29,3.232,3.682,1.546,6.418,0,8.169,0,0,0,5.827,0,3.055,0,9.47,0,3.554,0,1.981,7.046,4.117,6.885,11.36,6.413,2.096,0,13.934,11.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509286307010001409.sgf,ä¸?èµ·å??321,太阳寒水,0,0.052,0.024,0.128,0.143,0.286,0.214,1.544,0,6.428,9.539,2.043,0,1.059,0,0.745,0,8.527,0,0.314,0,0,3.429,16.826,1.844,4.631,5.654,2.244,3.109,6.129,14.351,5.428,0,0,0,8.819,5.831,7.947,11.172,25.158,12.999,12.788,13.602,15.203,14.747,13.901,9.28,13.202,0,8.814,0,1.182,0,0,4.072,5.856,4.632,3.846,1.29,1.803,1.529,0,1.826,0,0,0,1.267,0,0,2.873,0,0,-0.217,4.222,0,0,5.037,7.076,13.238,10.399,0,2.583,0,5.025,0,1.426,2.317,0,3.375,6.25,0,2.582,0,4.266,6.89,10.468,0,4.643,2.786,5.955,0,3.205,0,3.734,0,3.947,3.574,3.665,0,8.61,5.676,8.213,7.8,11.403,8.273,10.213,6.913,13.274,0,6.728,9.707,9.081,5.33,17.364,0.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510274133010001220.sgf,花园围棋,ì˜¤ëŒ€ê°?,0,0.052,0,0,0.143,0.365,0.332,2.137,0.49,0,0,0.658,0.384,1.13,0,2.072,2.271,0.254,3.928,0.668,2.988,4.556,2.301,0,3.357,1.257,3.592,4.069,0.791,2.732,9.586,0,5.648,0,5.117,6.462,2.214,7.388,9.146,6.897,4.699,2.781,2.389,5.629,4.152,2.597,2.584,4.469,3.439,5.069,2.118,0,1.571,1.747,4.816,0,1.464,0,8.955,0,1.896,1.803,7.761,5.693,9.649,5.054,3.932,0,1.944,2.072,1.936,9.621,10.404,9,0,0,0,3.39,4.992,2.845,10.642,4.984,13.851,0,0,4.283,3.377,4.119,10.225,0,5.816,0,20.214,21.342,12.234,12.213,13.514,11.345,13.22,14.312,14.006,11.241,11.626,10.002,9.463,10.463,7.256,11.94,6.313,9.531,7.308,7.221,6.193,4.299,5.917,1.328,0,1.59,0,2.765,0,11.469,4.581,5.956,0,6.323,4.743,12.23,4.79,12.187,13.417,11.536,15.118,9.804,14.157,0,2.224,4.139,12.359,6.437,5.269,21.197,9.364,21.19,19.1,23.738,18.651,7.363,3.563,8.801,6.436,1.384,0,5.934,0,2.898,0,0.811,1.22,24.735,16.445,21.225,14.707,17.694,23.842,22.497,17.296,16.195,11.498,18.682,16.554,20.462,21.823,18.585,19.663,19.447,17.67,16.459,35.053,0.535,1.889,0.906,72.027,0,-1.972,14.078,10.08,14.405,6.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513345457022109162.sgf,張?平,å‚²è¿Žé£Žæš´,0.116,0.084,0.099,0.3,0.366,0,1.2,1.126,0.161,0,0.188,0,1.884,1.015,3.979,2.969,2.874,3.238,3.661,3.086,4.107,7.449,1.01,0.243,2.281,2.946,3.504,2.579,3.226,3.239,0.396,0.448,0,0.435,0.744,1.132,0.921,0.909,0.496,1.513,0,4.097,3.045,3.674,3.708,4.541,3.244,5.017,2.259,4.356,2.412,1.499,4.235,0,6.184,4.946,4.22,4.278,5.803,2.369,6.962,9.708,1.653,1.329,1.164,0,1.818,1.34,1.804,0,1.945,3.731,0.8,0.707,0.115,3.448,4.886,12.165,1.866,2.732,5.536,1.401,-0.641,-2.192,-0.501,-1.126,-1.115,-0.019,4.529,6.363,9.555,2.246,0,14.029,13.266,21.744,21.999,24.161,18.904,18.759,18.851,19.142,20.614,25.444,28.567,24.779,22.304,29.05,25.56,26.258,33.23,0,0,0.651,3.757,2.405,0.703,0,0.415,0,9.279,6.23,4.392,7.706,5.299,5.33,8.854,1.084,4.33,3.05,6.058,2.841,5.493,0,2.408,7.243,1.92,0,4.496,1.132,4.155,0,0.344,1.013,3.114,3.994,3.776,6.501,7.195,7.264,7.361,7.25,7.156,6.279,6.03,6.976,8.925,7.38,9.254,6.378,5.304,6.596,7.225,7.229,6.432,8.237,7.985,6.623,6.423,8.787,5.254,8.069,-0.159,32.774,32.885,26.75,25.614,26.171,27.475,25.786,26.664,32.531,25.601,32.548,10.512,11.298,25.349,31.436,20.669,21.922,30.972,30.845,17.464,15.69,24.953,27.273,17.841,24.101,16.05,16.724,13.93,21.531,32.832,0,6.04,5.836,0.849,0,0.63,0,6.775,7.267,1.789,0,0.939,0,7.756,10.192,8.934,9.403,8.99,9.997,6.127,6.624,8.692,1.601,1.986,0,0,0,1.366,0,0,0.812,0,1.387,3.587,3.674,2.027,3.525,0.603,0,1.313,0.228,0,3.992,2.405,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514203035022109723.sgf,Vin1176,張?平,0,0.152,0.138,0.112,0.218,0.244,0.741,0.229,0.289,1.384,0.741,0.19,0.457,0.164,0.461,0.651,0.963,1.158,0.356,2.666,2.714,1.861,2.849,1.931,4.036,2.763,0,2.945,0,4.365,9.661,0,0,14.569,16.577,19.773,0,14.617,15.266,0,0,5.196,3.52,8.147,3.575,6.561,7.371,0,4.407,3.7,4.358,1.622,2.303,0,4.369,13.965,4.307,7.211,4.814,6.311,2.135,1.108,2.507,0,0,1.188,3.68,4.086,5.205,2.385,2.583,2.999,8.272,6.278,6.148,1.096,1.441,0.526,2.716,1.444,1.899,1.907,5.36,1.854,0,0,0,0.507,0.148,0.156,0,0,0,0,4.427,4.32,4.008,0.996,1.915,3.11,4.976,10.633,7.511,5.993,1.689,1.257,2.634,3.141,1.36,0,11.937,13.041,5.056,0,9.293,11.768,0,2.836,5.249,3.429,1.217,8.821,3.45,4.944,3.378,13.596,11.403,0,0,3.473,0,0,0,0,0.616,-0.543,0,8.32,0,10.554,8.456,10.6,9.49,2.549,8.24,11.321,7.008,8.584,0,1.89,0,9.845,11.504,6.078,18.741,11.438,10.821,0,3.964,12.037,5.969,10.645,6.444,3.194,0,8.399,6.884,31.814,31.905,34.973,33.55,2.36,0,3.385,25.859,0,2.202,0,0,0,0,0,9.051,8.291,10.254,10.142,9.781,10.091,1.139,0.722,1.114,-0.115,3.001,5.871,0.611,4.484,5.099,2.627,6.031,1.856,0.441,0.63,0,2.68,0,3.321,1.716,0,3.802,0.454,8.008,2.035,3.385,0,0,3.136,2.938,0,1.9,0,0,1.683,0,4.181,1.527,0,4.365,2.803,4.238,7.998,0,6.502,0,1.931,2.133,1.902,3.932,1.494,0,4.121,4.602,4.722,4.941,2.34,2.189,2.132,1.389,1.619,2.415,3.531,5.195,3.843,4.911,1.982,2.666,2.638,0,0,0,1.006,0,32.049,-30.976,-0.032,-0.933,1.032,-1.021,-0.979,-0.987,-1.027,-0.96,-1.001,-1.091,-1.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514216749022109188.sgf,V134378,張?平,-0.013,0.16,0.176,0.134,0.234,0.328,0.679,0.892,0,0.147,0,0.347,0.052,0.96,1.091,3.197,0,2.28,0,1.477,0,2.573,2.238,0,0.841,1.091,3.512,3.757,1.362,0,0,0,0,2.724,2.426,6.007,0,0,1.029,2.371,3.089,3.669,3.459,3.917,1.942,2.846,3.017,3.043,4.211,3.519,4.353,3.632,1.562,5.403,5.969,9.368,2.249,0,0,6.262,2.794,3.25,0,5.42,1.828,6.408,7.719,8.483,11.66,2.456,16.139,0,7.993,3.798,8.496,0,1.996,0,4.545,7.287,16.028,11.794,3.682,0.027,0,1.131,0,4.832,3.657,4.568,5.868,10.549,8.6,7.028,7.486,4.811,5.322,5.559,2.933,4.221,1.228,6.793,3.24,6.094,3.074,5.21,0,4.1,0,0,2.517,0.799,0,4.582,5.856,12.062,1.134,10.979,0,1.2,9.082,0,4.384,10.32,1.386,9.966,0,10.067,16.163,11.634,7.356,3.953,0,1.486,5.118,5.131,12.642,0,7.84,3.034,0,4.682,16.267,9.064,10.048,4.224,3.702,3.742,0,5.369,0,1.759,8.256,0,4.152,0,2.488,1.089,3.745,12.703,7.625,8.426,8.567,11.543,7.176,3.933,5.435,9.562,7.808,2.741,9.336,0,0.55,4.978,0,0,1.69,21.332,1.995,9.816,5.979,10.279,2.115,1.583,7.659,2.694,11.833,8.225,4.204,5.404,14.048,12.173,2.878,4.914,4.954,8.175,0,1.878,0,24.071,0,0.946,1.98,13.381,29.028,0,9.828,21.65,0,0,31.619,1.153,0,0.441,0,0,5.747,0.044,6.175,7.634,6.673,7.065,9.07,9.67,0.111,2.883,2.756,3.858,3.881,0.766,78.836,0,0.396,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514271430022109015.sgf,張?平,å¯¼æ¼”æˆ‘453,0.121,0.101,0.135,0,0.273,0,0.409,2.325,0,0.347,1.258,0.713,1.011,2.842,3.855,0.686,0.669,0.103,0.613,0,0,1.089,0,0,3.731,0.648,0,2.28,3.061,0,0,0,0,0,1.82,0,0.673,2.943,1.398,3.581,5.177,4.774,6.381,5.572,5.39,4.065,5.052,6.061,5.798,2.691,2.785,0,0.701,0,0.125,0,1.962,6.619,3.93,4.157,4.046,2.078,3.918,3.973,3.531,2.069,2.528,0.79,1.397,2.129,0,6.47,2.98,3.682,1.224,3.172,5.915,6.363,2.816,2.844,6.999,1.017,3.591,5.943,6.511,3.933,0.974,4.297,0.768,0,9.922,0,6.931,3.285,0,0,10.494,0,1.178,4.278,12.625,0,8.622,0,0,3.887,2.823,4.53,4.44,0,6.275,8.552,2.378,-0.032,0,0,0,0,7.936,0,20.951,0,1.22,19.93,0,0,9.875,0,1.623,0,0,0,0,0,22.452,12.135,9.082,23.671,32.306,0,3.271,0,0,4.381,2.205,1.377,1.049,0,10.096,9.017,7.685,14.26,8.075,12.402,4.202,6.495,4.814,0,5.935,5.074,4.553,13.88,12.169,36.577,0,0.805,-2.084,0,-0.869,0,1.158,0,24.871,0,18.134,19.383,34.015,5.658,6.925,6.504,15.04,15.782,10.775,14.281,13.472,10.271,14.496,1.933,4.297,0,5.272,3.892,2.414,0,-1.645,7.541,7.74,3.24,12.229,13.744,5.929,3.575,8.35,7.473,0.517,0,11.17,10.949,10.896,11.702,10.641,9.051,11.856,11.488,10.669,11.373,9.179,8.58,5.511,9.779,3.478,3.783,3.347,0,0.601,0,-0.32,0,12.355,12.054,11.337,12.831,10.775,14.017,12.68,5.686,0.416,0,0.965,0,0,2.188,5.389,0,0,0,1.41,2.405,0,4.121,0,0,1.089,0.822,0.982,3.202,0.505,0,3.065,3.185,1.168,0,13.193,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
